#
# Time		Temperature [K]
# UTC+9  He3U Head [K]  He3I Head [K]  He4 Head [K]
#
# 2014-0107-192657  0.236  0.268  0.787  Lowest temperature
# 2014-0107-192755  0.235  0.268  0.787  Lowest temperature
# 2014-0107-195855  0.234  0.267  0.787  Lowest temperature
# 2014-0108-182655  1.088  0.593  3.0  He3U Head > 0.4 K
# 2014-0108-214053  0.353  0.456  0.936  Cooled
# 2014-0109-012758  0.233  0.266  0.787  Lowest temperature
#
# Time   Temperature [K]
# UTC+9  He3U Head [K]  He3I Head [K]  He4 Head [K]  Hold Time [h]  Lowest Temperature [K]  State
#
2014-0110-014754  0.297  0.370  0.811  -  -  Cooled
2014-0111-023400  0.985  0.528  3.028  -  -  He3U Head > 0.25 K
2014-0111-061553  0.249  0.284  0.788  -  -  Cooled
2014-0112-070255  0.633  0.416  2.716  -  -  He3U Head > 0.25 K
2014-0112-102555  0.249  0.285  0.788  -  -  Cooled
2014-0113-105653  0.833  0.467  2.937  -  -  He3U Head > 0.25 K
2014-0113-141952  0.249  0.285  0.788  -  -  Cooled
2014-0114-144855  0.632  0.415  2.715  -  0.235  He3U Head > 0.25 K
2014-0114-181155  0.249  0.285  0.788  -  -  Cooled
2014-0115-184053  0.409  0.368  2.384  -  0.233  He3U Head > 0.25 K
2014-0115-220502  0.249  0.285  0.788  -  -  Cooled
2014-0116-223658  0.411  0.369  2.393  24.53  0.232  He3U Head > 0.25 K
2014-0117-020055  0.249  0.285  0.788  -  -  Cooled
2014-0118-023058  0.260  0.305  2.138  24.50  0.232  He3U Head > 0.25 K
2014-0118-055652  0.249  0.285  0.788  -  -  Cooled
2014-0119-062450  0.976  0.525  3.026  24.47  0.232  He3U Head > 0.25 K
2014-0119-094957  0.249  0.285  0.788  -  -  Cooled
2014-0120-101750  0.978  0.526  3.026  24.46  0.233  He3U Head > 0.25 K
2014-0120-134101  0.249  0.285  0.788  -  -  Cooled
2014-0121-141059  0.259  0.305  2.141  -  0.233  He3U Head > 0.25 K
2014-0121-173455  0.249  0.285  0.788  -  -  Cooled
2014-0122-180358  0.632  0.416  2.718  24.48  0.232  He3U Head > 0.25 K
2014-0128-131556  0.26  0.305  2.137  0.00  0.233  He3U Head > 0.25 K
2014-0128-163952  0.249  0.285  0.788  -  -  Cooled
2014-0129-171102  0.411  0.369  2.389  24.52  0.232  He3U Head > 0.25 K
2014-0129-203654  0.249  0.285  0.788  -  -  Cooled
2014-0130-205601  0.413  0.37  2.397  24.32  0.232  He3U Head > 0.25 K
2014-0131-001958  0.249  0.285  0.788  -  -  Cooled
